"period","assets"
2002-12-18,"720761"
2002-12-25,"733136"
2003-01-01,"732202"
2003-01-08,"724902"
2003-01-15,"721325"
2003-01-22,"737069"
2003-01-29,"714316"
2003-02-05,"720885"
2003-02-12,"714547"
2003-02-19,"731553"
2003-02-26,"723222"
2003-03-05,"723792"
2003-03-12,"718105"
2003-03-19,"731000"
2003-03-26,"726250"
2003-04-02,"733626"
2003-04-09,"728975"
2003-04-16,"747062"
2003-04-23,"733481"
2003-04-30,"747460"
2003-05-07,"734390"
2003-05-14,"741413"
2003-05-21,"735854"
2003-05-28,"745948"
2003-06-04,"732753"
2003-06-11,"744296"
2003-06-18,"737093"
2003-06-25,"745266"
2003-07-02,"741370"
2003-07-09,"745602"
2003-07-16,"738954"
2003-07-23,"746892"
2003-07-30,"741559"
2003-08-06,"735147"
2003-08-13,"736612"
2003-08-20,"751992"
2003-08-27,"741742"
2003-09-03,"751353"
2003-09-10,"738300"
2003-09-17,"745210"
2003-09-24,"742314"
2003-10-01,"754446"
2003-10-08,"738093"
2003-10-15,"755556"
2003-10-22,"744851"
2003-10-29,"748784"
2003-11-05,"745371"
2003-11-12,"745761"
2003-11-19,"745600"
2003-11-26,"758083"
2003-12-03,"751054"
2003-12-10,"757590"
2003-12-17,"755091"
2003-12-24,"767978"
2003-12-31,"772995"
2004-01-07,"756832"
2004-01-14,"754119"
2004-01-21,"777059"
2004-01-28,"756841"
2004-02-04,"755445"
2004-02-11,"752243"
2004-02-18,"759685"
2004-02-25,"752004"
2004-03-03,"756199"
2004-03-10,"750831"
2004-03-17,"761524"
2004-03-24,"752472"
2004-03-31,"761743"
2004-04-07,"754869"
2004-04-14,"764814"
2004-04-21,"759012"
2004-04-28,"774058"
2004-05-05,"759949"
2004-05-12,"765811"
2004-05-19,"757979"
2004-05-26,"771892"
2004-06-02,"764893"
2004-06-09,"773123"
2004-06-16,"762755"
2004-06-23,"776150"
2004-06-30,"780361"
2004-07-07,"778684"
2004-07-14,"776261"
2004-07-21,"777591"
2004-07-28,"774561"
2004-08-04,"772807"
2004-08-11,"769982"
2004-08-18,"768216"
2004-08-25,"776216"
2004-09-01,"786094"
2004-09-08,"789090"
2004-09-15,"790069"
2004-09-22,"783030"
2004-09-29,"787410"
2004-10-06,"782750"
2004-10-13,"796011"
2004-10-20,"786093"
2004-10-27,"792175"
2004-11-03,"791585"
2004-11-10,"801309"
2004-11-17,"794972"
2004-11-24,"810970"
2004-12-01,"807973"
2004-12-08,"809391"
2004-12-15,"807896"
2004-12-22,"812136"
2004-12-29,"811962"
2005-01-05,"816763"
2005-01-12,"799268"
2005-01-19,"808220"
2005-01-26,"808012"
2005-02-02,"805705"
2005-02-09,"798620"
2005-02-16,"796496"
2005-02-23,"805727"
2005-03-02,"802675"
2005-03-09,"800358"
2005-03-16,"808153"
2005-03-23,"798072"
2005-03-30,"808487"
2005-04-06,"798095"
2005-04-13,"806739"
2005-04-20,"802969"
2005-04-27,"810697"
2005-05-04,"803447"
2005-05-11,"809073"
2005-05-18,"802334"
2005-05-25,"810921"
2005-06-01,"818300"
2005-06-08,"815308"
2005-06-15,"812235"
2005-06-22,"811179"
2005-06-29,"810968"
2005-07-06,"822944"
2005-07-13,"809526"
2005-07-20,"817735"
2005-07-27,"815144"
2005-08-03,"819529"
2005-08-10,"809540"
2005-08-17,"815282"
2005-08-24,"812315"
2005-08-31,"824574"
2005-09-07,"824448"
2005-09-14,"824796"
2005-09-21,"813996"
2005-09-28,"824750"
2005-10-05,"818227"
2005-10-12,"828989"
2005-10-19,"815465"
2005-10-26,"820062"
2005-11-02,"815926"
2005-11-09,"825884"
2005-11-16,"824451"
2005-11-23,"834156"
2005-11-30,"836054"
2005-12-07,"834325"
2005-12-14,"832009"
2005-12-21,"849409"
2005-12-28,"848909"
2006-01-04,"854174"
2006-01-11,"830872"
2006-01-18,"838675"
2006-01-25,"830100"
2006-02-01,"833289"
2006-02-08,"828904"
2006-02-15,"836281"
2006-02-22,"842380"
2006-03-01,"840566"
2006-03-08,"840528"
2006-03-15,"844020"
2006-03-22,"839196"
2006-03-29,"834635"
2006-04-05,"835979"
2006-04-12,"837968"
2006-04-19,"837358"
2006-04-26,"846026"
2006-05-03,"845192"
2006-05-10,"839651"
2006-05-17,"839649"
2006-05-24,"841967"
2006-05-31,"853554"
2006-06-07,"850218"
2006-06-14,"847022"
2006-06-21,"845940"
2006-06-28,"845679"
2006-07-05,"853082"
2006-07-12,"845357"
2006-07-19,"850997"
2006-07-26,"842511"
2006-08-02,"851664"
2006-08-09,"841073"
2006-08-16,"843977"
2006-08-23,"838957"
2006-08-30,"852299"
2006-09-06,"851521"
2006-09-13,"842017"
2006-09-20,"839356"
2006-09-27,"851033"
2006-10-04,"843857"
2006-10-11,"861367"
2006-10-18,"845439"
2006-10-25,"853681"
2006-11-01,"857192"
2006-11-08,"860034"
2006-11-15,"856561"
2006-11-22,"866320"
2006-11-29,"857498"
2006-12-06,"864015"
2006-12-13,"855534"
2006-12-20,"866962"
2006-12-27,"871162"
2007-01-03,"875886"
2007-01-10,"856084"
2007-01-17,"860802"
2007-01-24,"852556"
2007-01-31,"866559"
2007-02-07,"855950"
2007-02-14,"868051"
2007-02-21,"870820"
2007-02-28,"878205"
2007-03-07,"865685"
2007-03-14,"876868"
2007-03-21,"863755"
2007-03-28,"870656"
2007-04-04,"863206"
2007-04-11,"866525"
2007-04-18,"862347"
2007-04-25,"880456"
2007-05-02,"892372"
2007-05-09,"876213"
2007-05-16,"860378"
2007-05-23,"874929"
2007-05-30,"878220"
2007-06-06,"873911"
2007-06-13,"865881"
2007-06-20,"867099"
2007-06-27,"865949"
2007-07-04,"878608"
2007-07-11,"873060"
2007-07-18,"873966"
2007-07-25,"864700"
2007-08-01,"871042"
2007-08-08,"866294"
2007-08-15,"865720"
2007-08-22,"863509"
2007-08-29,"873589"
2007-09-05,"872896"
2007-09-12,"887233"
2007-09-19,"868615"
2007-09-26,"890671"
2007-10-03,"869874"
2007-10-10,"888061"
2007-10-17,"870193"
2007-10-24,"881978"
2007-10-31,"884044"
2007-11-07,"886556"
2007-11-14,"890831"
2007-11-21,"891596"
2007-11-28,"879893"
2007-12-05,"883464"
2007-12-12,"882436"
2007-12-19,"888692"
2007-12-26,"891158"
2008-01-02,"923058"
2008-01-09,"881323"
2008-01-16,"894245"
2008-01-23,"878400"
2008-01-30,"900810"
2008-02-06,"871610"
2008-02-13,"883544"
2008-02-20,"880047"
2008-02-27,"894294"
2008-03-05,"881822"
2008-03-12,"897089"
2008-03-19,"889065"
2008-03-26,"894437"
2008-04-02,"884297"
2008-04-09,"893609"
2008-04-16,"882426"
2008-04-23,"886483"
2008-04-30,"888721"
2008-05-07,"889757"
2008-05-14,"880605"
2008-05-21,"898913"
2008-05-28,"904977"
2008-06-04,"896444"
2008-06-11,"891195"
2008-06-18,"902927"
2008-06-25,"893196"
2008-07-02,"903620"
2008-07-09,"898653"
2008-07-16,"911291"
2008-07-23,"900292"
2008-07-30,"919115"
2008-08-06,"902873"
2008-08-13,"915164"
2008-08-20,"899120"
2008-08-27,"910543"
2008-09-03,"905996"
2008-09-10,"926372"
2008-09-17,"995589"
2008-09-24,"1212299"
2008-10-01,"1504499"
2008-10-08,"1592049"
2008-10-15,"1771632"
2008-10-22,"1803036"
2008-10-29,"1969444"
2008-11-05,"2074643"
2008-11-12,"2213329"
2008-11-19,"2187596"
2008-11-26,"2106615"
2008-12-03,"2137435"
2008-12-10,"2250457"
2008-12-17,"2255370"
2008-12-24,"2232826"
2008-12-31,"2239854"
2009-01-07,"2121949"
2009-01-14,"2050122"
2009-01-21,"2037755"
2009-01-28,"1927437"
2009-02-04,"1851813"
2009-02-11,"1843739"
2009-02-18,"1916216"
2009-02-25,"1916461"
2009-03-04,"1901834"
2009-03-11,"1899968"
2009-03-18,"2067273"
2009-03-25,"2071847"
2009-04-01,"2079411"
2009-04-08,"2088983"
2009-04-15,"2187028"
2009-04-22,"2197155"
2009-04-29,"2067131"
2009-05-06,"2080452"
2009-05-13,"2196882"
2009-05-20,"2181986"
2009-05-27,"2080642"
2009-06-03,"2078237"
2009-06-10,"2052633"
2009-06-17,"2072938"
2009-06-24,"2025828"
2009-07-01,"2006220"
2009-07-08,"1993054"
2009-07-15,"2072846"
2009-07-22,"2039391"
2009-07-29,"2000966"
2009-08-05,"1989654"
2009-08-12,"2015200"
2009-08-19,"2061283"
2009-08-26,"2075243"
2009-09-02,"2084026"
2009-09-09,"2088516"
2009-09-16,"2140254"
2009-09-23,"2158900"
2009-09-30,"2141302"
2009-10-07,"2138587"
2009-10-14,"2193576"
2009-10-21,"2201452"
2009-10-28,"2161834"
2009-11-04,"2165358"
2009-11-11,"2135394"
2009-11-18,"2209000"
2009-11-25,"2206591"
2009-12-02,"2204380"
2009-12-09,"2186762"
2009-12-16,"2236035"
2009-12-23,"2236055"
2009-12-30,"2234309"
2010-01-06,"2235669"
2010-01-13,"2292090"
2010-01-20,"2252213"
2010-01-27,"2247065"
2010-02-03,"2249553"
2010-02-10,"2256849"
2010-02-17,"2277936"
2010-02-24,"2286282"
2010-03-03,"2280227"
2010-03-10,"2282548"
2010-03-17,"2308068"
2010-03-24,"2313198"
2010-03-31,"2307201"
2010-04-07,"2307637"
2010-04-14,"2339408"
2010-04-21,"2337612"
2010-04-28,"2330517"
2010-05-05,"2326221"
2010-05-12,"2336143"
2010-05-19,"2350934"
2010-05-26,"2334081"
2010-06-02,"2336305"
2010-06-09,"2331566"
2010-06-16,"2344348"
2010-06-23,"2344521"
2010-06-30,"2330901"
2010-07-07,"2332114"
2010-07-14,"2340767"
2010-07-21,"2332369"
2010-07-28,"2325362"
2010-08-04,"2326563"
2010-08-11,"2327604"
2010-08-18,"2313764"
2010-08-25,"2301100"
2010-09-01,"2302106"
2010-09-08,"2305916"
2010-09-15,"2296172"
2010-09-22,"2307266"
2010-09-29,"2298781"
2010-10-06,"2308176"
2010-10-13,"2310002"
2010-10-20,"2305322"
2010-10-27,"2295477"
2010-11-03,"2300443"
2010-11-10,"2312859"
2010-11-17,"2314851"
2010-11-24,"2346097"
2010-12-01,"2347007"
2010-12-08,"2382387"
2010-12-15,"2385843"
2010-12-22,"2428053"
2010-12-29,"2420674"
2011-01-05,"2436162"
2011-01-12,"2468230"
2011-01-19,"2425374"
2011-01-26,"2443637"
2011-02-02,"2469513"
2011-02-09,"2500567"
2011-02-16,"2508967"
2011-02-23,"2533359"
2011-03-02,"2545231"
2011-03-09,"2577172"
2011-03-16,"2583145"
2011-03-23,"2601444"
2011-03-30,"2622616"
2011-04-06,"2648776"
2011-04-13,"2665508"
2011-04-20,"2685882"
2011-04-27,"2691133"
2011-05-04,"2718848"
2011-05-11,"2744597"
2011-05-18,"2758079"
2011-05-25,"2775137"
2011-06-01,"2788955"
2011-06-08,"2811363"
2011-06-15,"2827703"
2011-06-22,"2856563"
2011-06-29,"2865408"
2011-07-06,"2870296"
2011-07-13,"2878212"
2011-07-20,"2871435"
2011-07-27,"2863806"
2011-08-03,"2867363"
2011-08-10,"2872543"
2011-08-17,"2858024"
2011-08-24,"2859542"
2011-08-31,"2854000"
2011-09-07,"2858789"
2011-09-14,"2863651"
2011-09-21,"2857909"
2011-09-28,"2851028"
2011-10-05,"2859823"
2011-10-12,"2860959"
2011-10-19,"2852516"
2011-10-26,"2845777"
2011-11-02,"2822149"
2011-11-09,"2839886"
2011-11-16,"2831681"
2011-11-23,"2822063"
2011-11-30,"2814313"
2011-12-07,"2820774"
2011-12-14,"2902568"
2011-12-21,"2916188"
2011-12-28,"2926195"
2012-01-04,"2917845"
2012-01-11,"2899235"
2012-01-18,"2919617"
2012-01-25,"2919667"
2012-02-01,"2925040"
2012-02-08,"2928366"
2012-02-15,"2937996"
2012-02-22,"2932953"
2012-02-29,"2925788"
2012-03-07,"2884816"
2012-03-14,"2893871"
2012-03-21,"2892716"
2012-03-28,"2878200"
2012-04-04,"2865568"
2012-04-11,"2867267"
2012-04-18,"2875608"
2012-04-25,"2866675"
2012-05-02,"2864377"
2012-05-09,"2864231"
2012-05-16,"2851081"
2012-05-23,"2859578"
2012-05-30,"2842777"
2012-06-06,"2852083"
2012-06-13,"2869132"
2012-06-20,"2870921"
2012-06-27,"2863605"
2012-07-04,"2865961"
2012-07-11,"2866332"
2012-07-18,"2855871"
2012-07-25,"2846805"
2012-08-01,"2851183"
2012-08-08,"2856237"
2012-08-15,"2833374"
2012-08-22,"2825724"
2012-08-29,"2813001"
2012-09-05,"2822283"
2012-09-12,"2823505"
2012-09-19,"2821637"
2012-09-26,"2804567"
2012-10-03,"2808621"
2012-10-10,"2811853"
2012-10-17,"2847037"
2012-10-24,"2841053"
2012-10-31,"2823137"
2012-11-07,"2830791"
2012-11-14,"2877244"
2012-11-21,"2871162"
2012-11-28,"2851362"
2012-12-05,"2859807"
2012-12-12,"2917260"
2012-12-19,"2920231"
2012-12-26,"2907300"
2013-01-02,"2917189"
2013-01-09,"2928728"
2013-01-16,"2963812"
2013-01-23,"3011697"
2013-01-30,"3008704"
2013-02-06,"3014975"
2013-02-13,"3074225"
2013-02-20,"3095150"
2013-02-27,"3090600"
2013-03-06,"3108805"
2013-03-13,"3165396"
2013-03-20,"3206888"
2013-03-27,"3202256"
2013-04-03,"3215432"
2013-04-10,"3227762"
2013-04-17,"3295109"
2013-04-24,"3318649"
2013-05-01,"3317194"
2013-05-08,"3324615"
2013-05-15,"3354269"
2013-05-22,"3398713"
2013-05-29,"3385128"
2013-06-05,"3400183"
2013-06-12,"3410842"
2013-06-19,"3470530"
2013-06-26,"3478672"
2013-07-03,"3492742"
2013-07-10,"3504095"
2013-07-17,"3537861"
2013-07-24,"3574574"
2013-07-31,"3571797"
2013-08-07,"3585359"
2013-08-14,"3646323"
2013-08-21,"3645668"
2013-08-28,"3644456"
2013-09-04,"3654182"
2013-09-11,"3662035"
2013-09-18,"3722192"
2013-09-25,"3734018"
2013-10-02,"3747387"
2013-10-09,"3758663"
2013-10-16,"3813599"
2013-10-23,"3839033"
2013-10-30,"3843396"
2013-11-06,"3851623"
2013-11-13,"3907424"
2013-11-20,"3906620"
2013-11-27,"3925876"
2013-12-04,"3932627"
2013-12-11,"3993955"
2013-12-18,"4008062"
2013-12-25,"4032575"
2014-01-01,"4023640"
2014-01-08,"4028185"
2014-01-15,"4071528"
2014-01-22,"4097914"
2014-01-29,"4102138"
2014-02-05,"4109285"
2014-02-12,"4119474"
2014-02-19,"4149224"
2014-02-26,"4159972"
2014-03-05,"4171762"
2014-03-12,"4181361"
2014-03-19,"4222081"
2014-03-26,"4226971"
2014-04-02,"4236441"
2014-04-09,"4244188"
2014-04-16,"4283967"
2014-04-23,"4296339"
2014-04-30,"4296049"
2014-05-07,"4303143"
2014-05-14,"4336649"
2014-05-21,"4327560"
2014-05-28,"4322654"
2014-06-04,"4330917"
2014-06-11,"4340904"
2014-06-18,"4368168"
2014-06-25,"4368348"
2014-07-02,"4377031"
2014-07-09,"4383401"
2014-07-16,"4398201"
2014-07-23,"4410746"
2014-07-30,"4406637"
2014-08-06,"4410111"
2014-08-13,"4431923"
2014-08-20,"4412924"
2014-08-27,"4413736"
2014-09-03,"4415587"
2014-09-10,"4421408"
2014-09-17,"4449588"
2014-09-24,"4459050"
2014-10-01,"4450260"
2014-10-08,"4455403"
2014-10-15,"4474360"
2014-10-22,"4481616"
2014-10-29,"4486754"
2014-11-05,"4486585"
2014-11-12,"4488895"
2014-11-19,"4492759"
2014-11-26,"4485931"
2014-12-03,"4486190"
2014-12-10,"4488865"
2014-12-17,"4502247"
2014-12-24,"4509462"
2014-12-31,"4497660"
2015-01-07,"4499524"
2015-01-14,"4516077"
2015-01-21,"4512936"
2015-01-28,"4500064"
2015-02-04,"4500348"
2015-02-11,"4501685"
2015-02-18,"4496851"
2015-02-25,"4486725"
2015-03-04,"4487583"
2015-03-11,"4489279"
2015-03-18,"4495888"
2015-03-25,"4480603"
2015-04-01,"4481799"
2015-04-08,"4483419"
2015-04-15,"4485366"
2015-04-22,"4489695"
2015-04-29,"4471499"
2015-05-06,"4472703"
2015-05-13,"4501188"
2015-05-20,"4480384"
2015-05-27,"4463981"
2015-06-03,"4465360"
2015-06-10,"4468005"
2015-06-17,"4487817"
2015-06-24,"4495055"
2015-07-01,"4479130"
2015-07-08,"4481289"
2015-07-15,"4493605"
2015-07-22,"4500503"
2015-07-29,"4485480"
2015-08-05,"4486329"
2015-08-12,"4489250"
