"period","utilization","capacity","durable","nondurable"
1992-04-01,"80.6267","80.6416","43.6059","94.1923"
1992-05-01,"80.7343","80.8127","44.1178","94.0923"
1992-06-01,"80.5693","80.9872","44.1119","94.7480"
1992-07-01,"81.1037","81.1614","44.6112","95.3564"
1992-08-01,"80.5421","81.3324","44.4536","94.9713"
1992-09-01,"80.5520","81.4979","44.4523","95.1301"
1992-10-01,"81.0065","81.6567","44.9555","95.2766"
1992-11-01,"81.2079","81.8080","45.2312","95.5144"
1992-12-01,"81.1378","81.9493","45.3906","94.8269"
1993-01-01,"81.3550","82.0863","45.7823","95.8190"
1993-02-01,"81.5543","82.2138","45.9225","95.8911"
1993-03-01,"81.3782","82.3346","46.0105","95.1541"
1993-04-01,"81.5091","82.4488","46.2251","95.7965"
1993-05-01,"81.1188","82.5609","46.2622","95.5904"
1993-06-01,"81.1596","82.6733","46.1143","95.5174"
1993-07-01,"81.3018","82.7882","46.2174","95.8745"
1993-08-01,"81.1041","82.9093","46.0497","95.9929"
1993-09-01,"81.3684","83.0392","46.6369","95.9314"
1993-10-01,"81.8446","83.1806","47.3090","96.1462"
1993-11-01,"82.0324","83.3346","47.6541","96.1488"
1993-12-01,"82.3029","83.5015","48.0944","96.3418"
1994-01-01,"82.4279","83.6812","48.3126","96.1707"
1994-02-01,"82.2591","83.8751","48.2486","96.6345"
1994-03-01,"82.9017","84.0854","48.8473","98.1010"
1994-04-01,"83.1165","84.3099","49.5269","98.2717"
1994-05-01,"83.3313","84.5500","49.8837","99.0081"
1994-06-01,"83.6213","84.8048","50.0289","99.3803"
1994-07-01,"83.5090","85.0707","50.6269","98.9890"
1994-08-01,"83.7019","85.3456","50.8289","100.1766"
1994-09-01,"83.7402","85.6278","51.4159","99.7745"
1994-10-01,"84.1846","85.9175","52.1290","100.4902"
1994-11-01,"84.4195","86.2140","52.6182","101.1185"
1994-12-01,"85.0156","86.5154","53.4548","101.6944"
1995-01-01,"84.8959","86.8185","53.6740","101.6991"
1995-02-01,"84.4965","87.1254","53.5425","101.4067"
1995-03-01,"84.3373","87.4368","53.8904","101.1555"
1995-04-01,"84.0075","87.7508","53.9094","100.9558"
1995-05-01,"83.9517","88.0707","54.0830","100.8455"
1995-06-01,"83.9472","88.3978","54.5425","100.9000"
1995-07-01,"83.2978","88.7309","54.0584","100.5922"
1995-08-01,"84.0385","89.0732","55.2121","100.5704"
1995-09-01,"84.0460","89.4254","55.9654","100.9033"
1995-10-01,"83.5915","89.7896","55.9690","100.8586"
1995-11-01,"83.4527","90.1650","56.2078","100.5056"
1995-12-01,"83.4147","90.5510","56.7069","100.3744"
1996-01-01,"82.5066","90.9473","56.3367","99.4555"
1996-02-01,"83.4316","91.3470","57.7447","99.8810"
1996-03-01,"82.9508","91.7571","57.2845","100.4167"
1996-04-01,"83.3057","92.1750","58.5558","100.1820"
1996-05-01,"83.5274","92.6001","59.1361","100.6499"
1996-06-01,"83.8441","93.0310","59.9855","101.3035"
1996-07-01,"83.3068","93.4638","60.2877","101.2236"
1996-08-01,"83.4044","93.9013","60.7519","101.3954"
1996-09-01,"83.5828","94.3458","61.3550","102.1238"
1996-10-01,"83.1196","94.7990","61.1410","102.1571"
1996-11-01,"83.4358","95.2638","61.8308","102.6398"
1996-12-01,"83.5721","95.7381","62.5553","103.0840"
1997-01-01,"83.2700","96.2129","62.6746","102.9256"
1997-02-01,"83.8613","96.7054","63.9084","103.6602"
1997-03-01,"84.0122","97.2105","64.6866","104.6993"
1997-04-01,"83.6342","97.7277","64.7839","104.0198"
1997-05-01,"83.6918","98.2641","65.5356","104.3545"
1997-06-01,"83.6398","98.8237","66.3963","104.1344"
1997-07-01,"83.7875","99.4036","66.7791","104.9435"
1997-08-01,"84.1575","100.0084","68.0694","105.5021"
1997-09-01,"84.4094","100.6359","68.8204","106.1261"
1997-10-01,"84.6267","101.2855","69.6934","106.4515"
1997-11-01,"84.8090","101.9542","71.0408","106.5453"
1997-12-01,"84.5270","102.6344","71.5776","106.5799"
1998-01-01,"84.4084","103.3232","72.2668","107.4841"
1998-02-01,"83.9410","104.0144","72.6068","106.9672"
1998-03-01,"83.4591","104.7053","72.6267","106.5180"
1998-04-01,"83.2258","105.3882","72.9439","107.0679"
1998-05-01,"83.2325","106.0570","73.4907","107.2844"
1998-06-01,"82.1973","106.7039","72.5922","106.9568"
1998-07-01,"81.4262","107.3111","72.0159","106.8302"
1998-08-01,"82.6459","107.8910","75.1629","106.9292"
1998-09-01,"82.0423","108.4479","75.4746","105.8672"
1998-10-01,"82.2863","108.9845","76.6294","106.0677"
1998-11-01,"81.8458","109.5063","76.8690","105.9365"
1998-12-01,"81.7562","110.0101","77.6128","105.9745"
1999-01-01,"81.7627","110.4971","77.6486","106.6740"
1999-02-01,"81.8047","110.9707","78.3504","107.4963"
1999-03-01,"81.6192","111.4295","78.5262","106.9093"
1999-04-01,"81.4853","111.8728","79.1509","106.7513"
1999-05-01,"81.7649","112.3067","79.8070","107.8922"
1999-06-01,"81.3128","112.7353","79.9704","106.7778"
1999-07-01,"81.5275","113.1572","81.0685","106.0179"
1999-08-01,"81.5591","113.5847","81.5044","106.5375"
1999-09-01,"80.9608","114.0120","81.0423","106.3147"
1999-10-01,"81.7357","114.4399","82.4231","107.8172"
1999-11-01,"81.8333","114.8665","82.8801","108.6344"
1999-12-01,"82.1658","115.2902","83.3512","109.6190"
2000-01-01,"81.8947","115.7114","84.5960","107.8603"
2000-02-01,"81.8628","116.1289","84.8734","108.0826"
2000-03-01,"81.9140","116.5429","85.6643","108.4844"
2000-04-01,"82.2459","116.9508","86.5941","108.9322"
2000-05-01,"82.1419","117.3534","86.9313","108.2250"
2000-06-01,"81.9443","117.7483","87.2294","108.1976"
2000-07-01,"81.5919","118.1317","87.5700","107.9992"
2000-08-01,"81.0489","118.5032","87.1000","107.0204"
2000-09-01,"81.1288","118.8670","87.4378","107.5610"
2000-10-01,"80.6105","119.2273","87.3143","107.1958"
2000-11-01,"80.3794","119.5923","86.8995","107.1566"
2000-12-01,"79.9019","119.9522","86.2167","106.8377"
2001-01-01,"79.1132","120.3019","85.5391","106.4563"
2001-02-01,"78.3811","120.6389","84.9643","106.0807"
2001-03-01,"77.9511","120.9673","85.1989","105.0487"
2001-04-01,"77.5207","121.2958","84.5635","105.3024"
2001-05-01,"76.7598","121.6165","83.7811","104.5498"
2001-06-01,"76.0661","121.9248","82.9617","104.1297"
2001-07-01,"75.4812","122.2145","82.3693","103.7889"
2001-08-01,"75.1466","122.4938","81.5604","103.9345"
2001-09-01,"74.7271","122.7607","80.9744","104.3220"
2001-10-01,"74.2226","123.0140","79.9021","104.5992"
2001-11-01,"73.6832","123.2495","79.7439","104.2360"
2001-12-01,"73.5633","123.4641","80.1123","104.2385"
2002-01-01,"73.9169","123.6565","80.3993","105.1685"
2002-02-01,"73.8168","123.8228","80.7106","104.7594"
2002-03-01,"74.3163","123.9636","81.4783","105.5504"
2002-04-01,"74.5767","124.0783","82.0578","105.1693"
2002-05-01,"74.8299","124.1675","82.3857","105.9875"
2002-06-01,"75.5096","124.2320","83.4063","107.2094"
2002-07-01,"75.3177","124.2706","83.3456","106.4262"
2002-08-01,"75.3205","124.2853","83.7058","106.3648"
2002-09-01,"75.4104","124.2815","83.8453","106.5567"
2002-10-01,"75.1899","124.2622","83.5807","106.0682"
2002-11-01,"75.6041","124.2299","84.2424","106.2115"
2002-12-01,"75.2497","124.1873","83.5198","105.9118"
2003-01-01,"75.7935","124.1358","84.3227","105.9611"
2003-02-01,"76.0486","124.0858","84.0603","106.7062"
2003-03-01,"75.9097","124.0346","83.9306","107.3307"
2003-04-01,"75.3698","123.9806","83.2293","106.5152"
2003-05-01,"75.4364","123.9289","83.7597","105.9541"
2003-06-01,"75.5450","123.8806","84.4730","106.0375"
2003-07-01,"75.9063","123.8372","85.0923","105.7369"
2003-08-01,"75.7705","123.7969","84.5914","105.5408"
2003-09-01,"76.2656","123.7599","85.6845","105.9111"
2003-10-01,"76.3517","123.7228","85.8904","105.7121"
2003-11-01,"76.9843","123.6843","87.2365","106.2473"
2003-12-01,"76.9364","123.6435","87.0214","105.9465"
2004-01-01,"77.1048","123.5995","86.9308","105.8746"
2004-02-01,"77.5668","123.5527","87.6448","106.3923"
2004-03-01,"77.1762","123.5038","87.5280","106.0816"
2004-04-01,"77.5039","123.4550","87.5479","106.8736"
2004-05-01,"78.1303","123.4108","88.0962","107.9442"
2004-06-01,"77.5236","123.3746","87.3737","107.0600"
2004-07-01,"78.1403","123.3489","88.2743","107.7897"
2004-08-01,"78.1965","123.3367","88.6008","108.3399"
2004-09-01,"78.2404","123.3435","88.7541","108.2591"
2004-10-01,"78.9624","123.3710","89.8302","109.4137"
2004-11-01,"79.0970","123.4213","89.6882","109.4041"
2004-12-01,"79.6102","123.4931","90.3944","110.0801"
2005-01-01,"79.9356","123.5852","91.3345","110.6259"
2005-02-01,"80.3820","123.7042","92.4038","111.2555"
2005-03-01,"80.2015","123.8440","91.8499","110.8632"
2005-04-01,"80.2102","123.9986","92.3505","110.9056"
2005-05-01,"80.2471","124.1683","92.7814","111.1857"
2005-06-01,"80.4389","124.3505","92.9083","111.5586"
2005-07-01,"80.0906","124.5398","92.3651","111.4943"
2005-08-01,"80.1219","124.7314","93.6139","110.7380"
2005-09-01,"78.4864","124.9234","94.0328","107.8466"
2005-10-01,"79.3838","125.1123","96.4347","108.4121"
2005-11-01,"80.0484","125.2969","96.5611","110.1714"
2005-12-01,"80.4094","125.4763","96.1410","110.9864"
2006-01-01,"80.4018","125.6510","97.1995","111.5855"
2006-02-01,"80.2714","125.8208","97.0572","111.0145"
2006-03-01,"80.3770","125.9886","97.2667","110.4778"
2006-04-01,"80.5851","126.1578","98.0455","110.7837"
2006-05-01,"80.3622","126.3348","97.5587","110.4392"
2006-06-01,"80.5519","126.5237","97.9995","110.7724"
2006-07-01,"80.4077","126.7268","97.5837","110.8275"
2006-08-01,"80.5462","126.9484","98.5555","111.1587"
2006-09-01,"80.2833","127.1862","98.5030","111.5091"
2006-10-01,"80.1038","127.4401","97.9512","111.4048"
2006-11-01,"79.8455","127.7069","98.3540","111.0643"
2006-12-01,"80.4609","127.9815","99.9739","112.6793"
2007-01-01,"79.9118","128.2607","99.2079","112.4585"
2007-02-01,"80.6051","128.5404","99.9881","112.4718"
2007-03-01,"80.5467","128.8165","101.4485","112.7586"
2007-04-01,"80.9669","129.0807","102.6585","112.9651"
2007-05-01,"80.8538","129.3248","102.6945","112.7718"
2007-06-01,"80.7107","129.5398","103.2995","112.7661"
2007-07-01,"80.5963","129.7134","103.3350","113.0684"
2007-08-01,"80.6551","129.8383","103.4313","112.1597"
2007-09-01,"80.8911","129.9199","103.8868","112.7200"
2007-10-01,"80.4386","129.9587","103.8178","111.8190"
2007-11-01,"80.9169","129.9582","104.8758","111.8091"
2007-12-01,"80.9182","129.9240","105.0684","111.8176"
2008-01-01,"80.7477","129.8605","105.0101","110.9245"
2008-02-01,"80.5921","129.7803","104.5506","109.8919"
2008-03-01,"80.4223","129.6889","104.4620","109.3585"
2008-04-01,"79.8863","129.5967","103.0729","108.5211"
2008-05-01,"79.5639","129.5209","102.5864","108.1613"
2008-06-01,"79.4348","129.4743","102.5238","106.8756"
2008-07-01,"79.0223","129.4689","100.8621","106.1929"
2008-08-01,"77.8196","129.5087","99.4941","105.0870"
2008-09-01,"74.4576","129.5801","96.0019","101.3627"
2008-10-01,"75.0820","129.6779","93.3993","103.5472"
2008-11-01,"74.0790","129.7920","90.8055","101.5463"
2008-12-01,"71.8894","129.9153","87.6542","97.9035"
2009-01-01,"70.1475","130.0442","82.7343","97.8254"
2009-02-01,"69.6397","130.1515","82.2410","98.2347"
2009-03-01,"68.5134","130.2448","80.2831","97.0478"
2009-04-01,"67.8956","130.3261","79.1997","96.8345"
2009-05-01,"67.1760","130.3755","77.3658","96.9735"
2009-06-01,"66.8901","130.3841","76.6575","97.1284"
2009-07-01,"67.6387","130.3458","79.2553","96.8875"
2009-08-01,"68.4156","130.2612","80.3742","97.8423"
2009-09-01,"69.0014","130.1341","81.7602","97.7749"
2009-10-01,"69.3797","129.9705","81.7736","98.1829"
2009-11-01,"69.6820","129.7769","82.7614","98.9414"
2009-12-01,"70.0464","129.5587","83.0411","98.2197"
2010-01-01,"70.9996","129.3192","84.6037","98.7840"
2010-02-01,"71.3556","129.0705","84.6897","98.6614"
2010-03-01,"71.9797","128.8129","86.3365","99.2510"
2010-04-01,"72.3935","128.5486","87.6149","99.6471"
2010-05-01,"73.6494","128.2895","89.4982","100.3986"
2010-06-01,"73.9460","128.0432","89.6247","100.0546"
2010-07-01,"74.4448","127.8186","90.8761","99.9461"
2010-08-01,"74.8220","127.6184","90.9567","100.3414"
2010-09-01,"75.1011","127.4482","91.2114","100.2507"
2010-10-01,"74.9999","127.3072","91.6781","99.9691"
2010-11-01,"75.0947","127.1967","91.8346","99.7597"
2010-12-01,"75.8308","127.1174","92.2983","100.1018"
2011-01-01,"75.8377","127.0695","93.0968","99.8300"
2011-02-01,"75.4601","127.0572","93.5916","99.3545"
2011-03-01,"76.0909","127.0789","94.0596","100.0284"
2011-04-01,"75.7388","127.1345","93.0271","99.9429"
2011-05-01,"75.8839","127.2257","93.7058","99.5755"
2011-06-01,"75.9789","127.3528","93.8439","99.5288"
2011-07-01,"76.2046","127.5135","94.5668","100.1083"
2011-08-01,"76.5596","127.7042","95.2858","99.9729"
2011-09-01,"76.4361","127.9189","95.7104","100.2380"
2011-10-01,"76.8053","128.1546","96.5977","100.4846"
2011-11-01,"76.5397","128.4077","96.5290","99.7995"
2011-12-01,"76.7711","128.6737","97.5518","100.1105"
2012-01-01,"77.1693","128.9498","99.0006","100.7265"
2012-02-01,"77.1797","129.2296","99.5638","100.6618"
2012-03-01,"76.5097","129.5113","99.3611","99.6680"
2012-04-01,"76.9914","129.7911","100.3706","100.1010"
2012-05-01,"76.9235","130.0653","100.0798","99.5716"
2012-06-01,"76.7043","130.3305","100.4965","99.4889"
2012-07-01,"76.7893","130.5827","100.3887","99.7268"
2012-08-01,"76.3115","130.8230","99.9527","99.6130"
2012-09-01,"76.2435","131.0525","99.5626","100.1111"
2012-10-01,"76.3211","131.2714","99.5307","99.6944"
2012-11-01,"76.5466","131.4800","100.4590","100.0206"
2012-12-01,"76.5946","131.6777","101.2340","100.6164"
2013-01-01,"76.5429","131.8645","100.5599","100.8822"
2013-02-01,"76.7492","132.0438","101.4095","100.8719"
2013-03-01,"76.8150","132.2151","101.2508","100.5645"
2013-04-01,"76.7032","132.3784","100.8656","100.3737"
2013-05-01,"76.5574","132.5397","100.7692","100.8534"
2013-06-01,"76.6089","132.7028","100.9769","100.9921"
2013-07-01,"76.2164","132.8698","99.7245","100.6360"
2013-08-01,"76.6990","133.0449","101.5175","100.6375"
2013-09-01,"77.0368","133.2299","102.1270","100.4494"
2013-10-01,"76.9370","133.4252","102.4016","100.7737"
2013-11-01,"77.0157","133.6303","102.6912","100.4827"
2013-12-01,"77.0967","133.8434","102.2171","101.1417"
2014-01-01,"76.8330","134.0630","101.3255","100.4211"
2014-02-01,"77.3012","134.2900","103.1243","100.7916"
2014-03-01,"77.8019","134.5231","104.0170","101.5215"
2014-04-01,"77.8116","134.7607","104.0541","102.1724"
2014-05-01,"77.9586","135.0025","105.1916","101.4636"
2014-06-01,"78.1650","135.2472","105.6937","101.8594"
2014-07-01,"78.2942","135.4893","106.9586","102.2575"
2014-08-01,"78.1828","135.7253","106.2281","102.3518"
2014-09-01,"78.4666","135.9528","106.6560","102.5113"
2014-10-01,"78.4640","136.1723","107.1902","102.5535"
2014-11-01,"79.0413","136.3838","108.0165","103.6642"
2014-12-01,"79.0054","136.5866","107.6947","104.0190"
2015-01-01,"78.6685","136.7768","107.3774","103.8094"
2015-02-01,"78.4432","136.9612","106.7570","103.6655"
2015-03-01,"78.2814","137.1384","106.7935","104.0618"
2015-04-01,"77.9767","137.3084","107.0762","104.5451"
2015-05-01,"77.6751","137.4736","107.6049","104.1603"
2015-06-01,"77.6561","137.6354","107.2068","103.9388"
2015-07-01,"77.9983","137.7941","108.5419","104.3446"
